Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,get½Ó¿Ú,15,0,50,39.658101399739586,9.971857070922852,88.2723331451416,7382.0,6.081256164425403,0.0,50,51,51,52,54,88,88,88,88,88,88,88
,Aggregated,15,0,50,39.658101399739586,9.971857070922852,88.2723331451416,7382.0,6.081256164425403,0.0,50,51,51,52,54,88,88,88,88,88,88,88
